id,passResult
75_2018090600,C
146_2018090600,I
168_2018090600,I
190_2018090600,C
256_2018090600,I
320_2018090600,C
344_2018090600,I
402_2018090600,I
492_2018090600,C
521_2018090600,C
545_2018090600,I
636_2018090600,I
752_2018090600,C
776_2018090600,S
839_2018090600,S
889_2018090600,I
949_2018090600,C
992_2018090600,C
1037_2018090600,C
1061_2018090600,C
1085_2018090600,C
1202_2018090600,C
1226_2018090600,I
1295_2018090600,I
1344_2018090600,C
1423_2018090600,C
1473_2018090600,C
1546_2018090600,I
1568_2018090600,S
1628_2018090600,I
1680_2018090600,C
1715_2018090600,C
1750_2018090600,C
1779_2018090600,I
1801_2018090600,I
1869_2018090600,C
1894_2018090600,I
1916_2018090600,C
1940_2018090600,I
2055_2018090600,I
2094_2018090600,I
2116_2018090600,C
2260_2018090600,C
2305_2018090600,I
2360_2018090600,I
2382_2018090600,C
2450_2018090600,C
2474_2018090600,I
2503_2018090600,I
2575_2018090600,C
2624_2018090600,C
2648_2018090600,C
2693_2018090600,I
2736_2018090600,C
2764_2018090600,I
2811_2018090600,C
2980_2018090600,C
3004_2018090600,I
3066_2018090600,I
3095_2018090600,I
3181_2018090600,I
3203_2018090600,I
3257_2018090600,I
3279_2018090600,C
3392_2018090600,IN
3481_2018090600,IN
3507_2018090600,C
3626_2018090600,C
3678_2018090600,I
3791_2018090600,C
3815_2018090600,S
3844_2018090600,C
3904_2018090600,C
3928_2018090600,I
3950_2018090600,C
3979_2018090600,C
4142_2018090600,C
4166_2018090600,C
4207_2018090600,I
4239_2018090600,S
4258_2018090600,C
4282_2018090600,C
4306_2018090600,S
4325_2018090600,C
4366_2018090600,I
4395_2018090600,I
4417_2018090600,I
4439_2018090600,I
4472_2018090600,I
71_2018090900,C
95_2018090900,C
186_2018090900,C
210_2018090900,I
232_2018090900,C
313_2018090900,C
444_2018090900,I
466_2018090900,S
531_2018090900,I
553_2018090900,I
600_2018090900,I
622_2018090900,C
646_2018090900,I
720_2018090900,I
742_2018090900,I
775_2018090900,I
797_2018090900,C
853_2018090900,C
877_2018090900,C
901_2018090900,C
925_2018090900,I
947_2018090900,C
1035_2018090900,S
1161_2018090900,I
1204_2018090900,I
1260_2018090900,C
1316_2018090900,I
1338_2018090900,I
1385_2018090900,S
1425_2018090900,I
1551_2018090900,I
1594_2018090900,S
1713_2018090900,C
1737_2018090900,C
1823_2018090900,C
1847_2018090900,I
1869_2018090900,IN
1906_2018090900,I
2037_2018090900,I
2119_2018090900,C
2199_2018090900,C
2223_2018090900,C
2264_2018090900,C
2288_2018090900,C
2312_2018090900,C
2353_2018090900,C
2377_2018090900,C
2440_2018090900,C
2572_2018090900,I
2594_2018090900,I
2646_2018090900,C
2696_2018090900,C
2732_2018090900,C
2799_2018090900,I
2821_2018090900,C
2845_2018090900,IN
2955_2018090900,I
2977_2018090900,S
3060_2018090900,S
3161_2018090900,I
3210_2018090900,C
3342_2018090900,I
3420_2018090900,I
3442_2018090900,S
3607_2018090900,I
3629_2018090900,I
3680_2018090900,I
3702_2018090900,I
3748_2018090900,C
3784_2018090900,C
3829_2018090900,I
4093_2018090900,C
4260_2018090900,I
4303_2018090900,I
4503_2018090900,C
4527_2018090900,C
4551_2018090900,S
4596_2018090900,C
4637_2018090900,I
72_2018090901,C
96_2018090901,I
157_2018090901,C
248_2018090901,I
291_2018090901,I
339_2018090901,C
405_2018090901,I
439_2018090901,C
493_2018090901,S
523_2018090901,I
566_2018090901,I
613_2018090901,I
635_2018090901,I
680_2018090901,C
704_2018090901,IN
854_2018090901,I
865_2018090901,C
977_2018090901,C
1021_2018090901,S
1112_2018090901,C
1136_2018090901,C
1177_2018090901,I
1199_2018090901,I
1306_2018090901,C
1330_2018090901,I
1373_2018090901,IN
1452_2018090901,C
1516_2018090901,IN
1563_2018090901,C
1682_2018090901,S
1742_2018090901,C
1766_2018090901,C
1849_2018090901,C
1890_2018090901,I
1912_2018090901,IN
1976_2018090901,S
2055_2018090901,S
2324_2018090901,C
2448_2018090901,C
2522_2018090901,C
2570_2018090901,I
2613_2018090901,S
2757_2018090901,I
2800_2018090901,C
2841_2018090901,I
2863_2018090901,I
2885_2018090901,I
2972_2018090901,C
3038_2018090901,C
3079_2018090901,I
3143_2018090901,I
3234_2018090901,I
3267_2018090901,C
3295_2018090901,S
3325_2018090901,C
3441_2018090901,I
3482_2018090901,I
3552_2018090901,I
3600_2018090901,I
3622_2018090901,I
3644_2018090901,I
3718_2018090901,I
3837_2018090901,C
3867_2018090901,S
3938_2018090901,I
4020_2018090901,C
4161_2018090901,C
4189_2018090901,C
4267_2018090901,I
4289_2018090901,I
4311_2018090901,C
4414_2018090901,C
4438_2018090901,C
4495_2018090901,IN
4596_2018090901,C
4620_2018090901,I
4688_2018090901,C
4751_2018090901,I
4762_2018090901,S
4809_2018090901,C
4896_2018090901,S
4924_2018090901,C
4983_2018090901,I
5005_2018090901,C
5050_2018090901,C
5150_2018090901,C
5211_2018090901,I
5233_2018090901,I
5276_2018090901,I
5323_2018090901,C
5347_2018090901,I
5369_2018090901,S
5449_2018090901,I
5511_2018090901,I
81_2018090902,IN
163_2018090902,IN
210_2018090902,C
260_2018090902,C
305_2018090902,C
350_2018090902,I
